Rank,Title,Sales,Series,Platform(s),Initial release date,Developer(s),Publisher(s),,,,
1,Minecraft,"238,000,000 ",Minecraft,Multi-platform,18-Nov-11,Mojang Studios,Xbox Game Studios,,,,
2,Grand Theft Auto V,"175,000,000 ",Grand Theft Auto,Multi-platform,17-Sep-13,Rockstar North,Rockstar Games,,,,
3,Tetris (EA),"100,000,000 ",Tetris,Multi-platform,12-Sep-06,EA Mobile,Electronic Arts,,,,
4,Wii Sports,"82,900,000 ",Wii,Wii,19-Nov-06,Nintendo EAD,Nintendo,,,,
5,PUBG: Battlegrounds,"75,000,000 ",PUBG Universe,Multi-platform,20-Dec-17,PUBG Corporation,PUBG Corporation,,,,
6,Mario Kart 8 / Deluxe,"60,460,000 ",Mario Kart,Wii U / Switch,29-May-14,Nintendo EAD,Nintendo,,,,
7,Super Mario Bros.,"58,000,000 ",Super Mario,Multi-platform,13-Sep-85,Nintendo R&D4,Nintendo,,,,
8,Red Dead Redemption 2,"50,000,000 ",Red Dead,Multi-platform,26-Oct-18,Rockstar Studios,Rockstar Games,,,,
9,Pokemon Red / Green / Blue / Yellow,"47,520,000 ",Pokemon,Multi-platform,27-Feb-96,Game Freak,Nintendo,,,,
10,Terraria,"44,500,000 ",None,Multi-platform,16-May-11,Re-Logic,Re-Logic / 505 Games,,,,
11,Wii Fit / Plus,"43,800,000 ",Wii,Wii,1-Dec-07,Nintendo EAD,Nintendo,,,,
12,Tetris (1989),"43,000,000 ",Tetris,Game Boy / NES,14-Jun-89,Nintendo R&D1,Nintendo,,,,
13,Pac-Man,"42,071,635 ",Pac-Man,Multi-platform,22-May-80,Namco,Namco,,,,
14,Animal Crossing: New Horizons,"41,590,000 ",Animal Crossing,Nintendo Switch,20-Mar-20,Nintendo EPD,Nintendo,,,,
15,Human: Fall Flat,"40,000,000 ",None,Multi-platform,22-Jul-16,No Brakes Games,Curve Digital,,,,
16,The Witcher 3 / Hearts of Stone / Blood and Wine,"40,000,000 ",The Witcher,Multi-platform,19-May-15,CD Projekt Red,CD Projekt,,,,
17,Mario Kart Wii,"37,380,000 ",Mario Kart,Wii,10-Apr-08,Nintendo EAD,Nintendo,,,,
18,Wii Sports Resort,"33,140,000 ",Wii,Wii,25-Jun-09,Nintendo EAD,Nintendo,,,,
19,New Super Mario Bros.,"30,800,000 ",Super Mario,Nintendo DS,15-May-06,Nintendo EAD,Nintendo,,,,
20,The Legend of Zelda: Breath of the Wild,"30,700,000 ",The Legend of Zelda,Wii U / Switch,3-Mar-17,Nintendo EPD,Nintendo,,,,
21,Super Smash Bros. Ultimate,"30,440,000 ",Super Smash Bros.,Nintendo Switch,7-Dec-18,Bandai Namco Studios / Sora Ltd.,Nintendo,,,,
22,New Super Mario Bros. Wii,"30,320,000 ",Super Mario,Wii,11-Nov-09,Nintendo EAD,Nintendo,,,,
